Time,Q1,Q2,Q3,Q4,Q5,Q6,Qdot1,Qdot2,Qdot3,Qdot4,Qdot5,Qdot6,x,y,z,xdot,ydot,zdot,FT1,FT2,FT3,FT4,FT5,FT6,handle_pos1,handle_pos2,mag11, mag12, mag21,mag22,f1,f2, dxl_pos1, dxl_pos2
22:33:27:503419,-0.517124,-0.160291,1.66983,3.49066e-05,1.29294,1.84007,0.031716,0.0589017,0.0502213,-0.000610797,0.00867931,0.0318784,0.308745,-0.175661,0.232311,-0.0115956,0.0193976,0.00585607,3.53,-3.33,-0.87,0.186,-0.076,0.0319998,0.002,0,0.00691444,0.00291444,0.00501208,0.00501208,-8.20023,0,352,358
22:33:27:508566,-0.516949,-0.159977,1.67007,3.49066e-05,1.29299,1.84019,0.0305966,0.0597541,0.0518693,-0.000589774,0.00788375,0.0307534,0.308684,-0.175554,0.232345,-0.012106,0.0192283,0.00566243,3.53,-3.33,-0.87,0.186,-0.076,0.0319998,0.0019,0,0.00681444,0.00301444,0.00501208,0.00501208,-7.77602,0,352,358
22:33:27:513563,-0.516809,-0.159663,1.67033,3.49066e-05,1.29304,1.84033,0.0295898,0.0605212,0.0533509,-0.000570896,0.00716926,0.0297415,0.308628,-0.175451,0.232383,-0.0125654,0.0190758,0.00548811,1.41,-1.39,-1.64,0.067,0.0140001,0.056,0.0018,0,0.00681444,0.00301444,0.00501208,0.00501208,-7.77602,0,352,358
22:33:27:518685,-0.516652,-0.159349,1.67065,3.49066e-05,1.29311,1.84048,0.0274176,0.0577421,0.0491656,-0.000528998,0.00857561,0.0275582,0.308562,-0.175357,0.232416,-0.0120163,0.0178813,0.0057415,1.41,-1.39,-1.64,0.067,0.0140001,0.056,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:523711,-0.516495,-0.159052,1.671,3.49066e-05,1.29317,1.84062,0.0254635,0.0552409,0.0453982,-0.000489459,0.00984184,0.0255937,0.30848,-0.175246,0.232433,-0.011522,0.0168062,0.00596962,0.91,-0.209999,-1.81,-0.075,-0.028,0.0909998,0.0018,0,0.00673071,0.00313071,0.00501208,0.00501208,-7.3339,0,353,358
22:33:27:528809,-0.516321,-0.158738,1.67128,3.49066e-05,1.29318,1.8408,0.0239139,0.0512992,0.0396713,-0.000457089,0.0116272,0.0240355,0.308393,-0.175133,0.232434,-0.0104888,0.0155889,0.00627171,0.91,-0.209999,-1.81,-0.075,-0.028,0.0909998,0.0018,0,0.00671444,0.00311444,0.0049958,0.0049958,-7.354,0,352,357
22:33:27:533823,-0.516146,-0.158441,1.67148,3.49066e-05,1.29322,1.84096,0.0225193,0.0477507,0.0345158,-0.000430853,0.0132341,0.0226341,0.308335,-0.175029,0.232462,-0.00955895,0.0144932,0.00654359,3.15,-2.07,-1.18,-0.014,-0.151,0.0709999,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:538929,-0.515989,-0.158197,1.67162,3.49066e-05,1.29325,1.84113,0.0227383,0.0480675,0.0351991,-0.000436282,0.0128676,0.0228544,0.308294,-0.174934,0.232504,-0.00964584,0.0146251,0.00644823,3.15,-2.07,-1.18,-0.014,-0.151,0.0709999,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:543925,-0.515832,-0.157952,1.67173,3.49066e-05,1.29334,1.8413,0.022935,0.0483522,0.0358152,-0.000441709,0.0125363,0.0230525,0.308269,-0.174856,0.232549,-0.00972404,0.0147438,0.00636229,4.5,-2.34,-0.78,0.121,-0.105,0.0369999,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:549045,-0.515692,-0.157725,1.67183,3.49066e-05,1.29343,1.84148,0.0246023,0.049693,0.038362,-0.000475132,0.0113301,0.0247286,0.308244,-0.174778,0.232604,-0.00992548,0.0155239,0.00607656,4.5,-2.34,-0.78,0.121,-0.105,0.0369999,0.0018,0,0.00673071,0.00313071,0.00501208,0.00501208,-7.3339,0,353,358
22:33:27:554167,-0.515553,-0.157481,1.67197,3.49066e-05,1.29353,1.84167,0.0261044,0.0508995,0.0406531,-0.000505052,0.0102455,0.0262385,0.308216,-0.174705,0.232652,-0.0101067,0.016226,0.00581933,2.71,-0.329998,-0.9,0.103,0.0120001,0.0319998,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:559178,-0.515413,-0.157219,1.67211,3.49066e-05,1.29359,1.84181,0.0266455,0.048399,0.0381715,-0.000515504,0.0102266,0.0267824,0.308174,-0.174624,0.232697,-0.0092668,0.0159626,0.00567228,2.71,-0.329998,-0.9,0.103,0.0120001,0.0319998,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:564168,-0.515291,-0.156957,1.67229,3.49066e-05,1.29364,1.84195,0.0271338,0.0461479,0.0359366,-0.000526913,0.0102104,0.0272736,0.308142,-0.174549,0.232747,-0.00851091,0.0157256,0.00553988,1.04,0.470001,-0.83,0.019,0.0300001,0.017,0.0018,0,0.00673071,0.00313071,0.00501208,0.00501208,-7.3339,0,353,358
22:33:27:569287,-0.515169,-0.156713,1.67248,3.49066e-05,1.29366,1.84209,0.0260568,0.0419981,0.0314777,-0.000506934,0.0105196,0.0261913,0.308098,-0.174475,0.232788,-0.00743102,0.0146766,0.00539988,1.04,0.470001,-0.83,0.019,0.0300001,0.017,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:574299,-0.515047,-0.156486,1.67271,3.49066e-05,1.29371,1.84223,0.0250869,0.0382633,0.0274663,-0.000488985,0.0107961,0.0252166,0.308057,-0.174401,0.232816,-0.00645913,0.0137325,0.00527388,1.64,-1.33,-0.91,0.109,-0.00999999,0.00499988,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:579420,-0.514924,-0.156294,1.67293,3.49066e-05,1.29376,1.84233,0.0236951,0.0375059,0.0268667,-0.000460566,0.0106384,0.0238173,0.307999,-0.174319,0.232829,-0.00648458,0.0131841,0.00518307,1.64,-1.33,-0.91,0.109,-0.00999999,0.00499988,0.0018,0,0.00673071,0.00313071,0.00501208,0.00501208,-7.3339,0,353,358
22:33:27:584404,-0.514802,-0.156102,1.67311,3.49066e-05,1.29385,1.84242,0.022442,0.0368246,0.0263278,-0.000434172,0.010496,0.0225572,0.307942,-0.174237,0.232828,-0.00650747,0.0126905,0.00510142,2.84,-2.29,-1.26,0.115,-0.059,0.0319998,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:589524,-0.514698,-0.155928,1.67326,3.49066e-05,1.29397,1.84251,0.0221348,0.0383179,0.0277888,-0.000426608,0.0105283,0.022248,0.307892,-0.174159,0.232844,-0.00701017,0.0128482,0.00518978,2.84,-2.29,-1.26,0.115,-0.059,0.0319998,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:594654,-0.51461,-0.155753,1.6734,3.49066e-05,1.29411,1.8426,0.0218582,0.0396622,0.0291028,-0.000418888,0.0105586,0.0219694,0.307837,-0.174085,0.232858,-0.00746256,0.0129901,0.00526948,1.78,-0.529999,-1.63,-0.032,-0.0669999,0.0539999,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:599822,-0.514523,-0.155579,1.67354,3.49066e-05,1.29423,1.84268,0.0215257,0.03818,0.0264048,-0.000410169,0.0117745,0.0216345,0.30778,-0.174018,0.232877,-0.00699331,0.0125886,0.00554517,1.78,-0.529999,-1.63,-0.032,-0.0669999,0.0539999,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:604806,-0.514436,-0.155387,1.67368,3.49066e-05,1.29434,1.84281,0.0212266,0.0368457,0.0239757,-0.000402545,0.0128693,0.0213334,0.307727,-0.173952,0.232897,-0.00657093,0.0122273,0.00579335,0.609999,0.290001,-1.28,-0.088,-0.046,0.059,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:609813,-0.514349,-0.155195,1.67384,3.49066e-05,1.29439,1.84291,0.0200751,0.0337263,0.0200712,-0.000379618,0.0136544,0.0201759,0.307677,-0.173889,0.232922,-0.00577865,0.0113151,0.0058535,0.609999,0.290001,-1.28,-0.088,-0.046,0.059,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
22:33:27:614927,-0.514261,-0.155003,1.67402,3.49066e-05,1.29446,1.843,0.0190386,0.0309189,0.0165577,-0.00035968,0.0143605,0.0191341,0.307633,-0.173828,0.232943,-0.00506559,0.0104941,0.00590763,1.89,-1.18,-0.49,0.016,-0.124,0.043,0.0018,0,0.00671444,0.00311444,0.00501208,0.00501208,-7.354,0,352,358
